name,date,lang,dur,genre,direc,act,c_rate,u_rate,desc,poster
The Losers,"02 Jul, 2010",[],Action,,Sylvain White,"['Jeffrey Dean Morgan', 'Zoe Saldana', 'Chris Evans']",3.0,3.3,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Edge of Darkness,"25 Jun, 2010",[],Crime,,Martin Campbell,"['Mel Gibson', 'Ray Winstone', 'Danny Huston']",3.0,3.0,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Toy Story 3,"25 Jun, 2010",[],Animation,,Lee Unkrich,"['Tim Allen', 'Ned Beatty', 'Michael Keaton']",4.0,4.3,"There is colour, verve, drama, action, comedy, romance and 3D too. Add to this, a few wonderful take-home morals for our young and old viewers, and what more can you want.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The A-Team,"25 Jun, 2010",[],Action,,Joe Carnahan,"['Liam Neeson', 'Bradley Cooper', 'Sharlto Copley']",3.5,3.5,"The A-Team is strictly for action buffs who love to OD on high-decibel AXN cuts. The action is superbly crafted, leaving no room for anything else.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The Karate Kid,"11 Jun, 2010",[],Action,,Jackie ChanActor,,3.0,3.8,"The film has a lot to offer to young adults, but fails to rise to cult status. And that's only because the martial arts display is somewhat marginalised by the drama and relationship building.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Robin Hood,"11 Jun, 2010",[],Drama,,Ridley Scott,"['Russell Crowe', 'Cate Blanchett', 'Mark Strong']",3.0,3.5,"Go watch this version, because the sequel is bound to follow. And then, we are sure, all hell will break lose....Savour the lull before the storm.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Sex and the City 2,"11 Jun, 2010",[],Drama,,Sarah Jessica ParkerActor,,3.0,2.4,"The sequel may not be as spunky as the first film, yet, Sex and the City 2 has enough to keep the cosmo club grinning.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Nightmare on ELM Street,"04 Jun, 2010",[],Horror,,Jackie Earle HaleyActor,,3.0,2.9,The new version may not be a revisionist tale and has nothing new to offer but it does have some old fashioned scares that still work.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Shutter Island,"04 Jun, 2010",[],Drama,,Martin Scorsese,"['Leonardo DiCaprio', 'Ben Kingsley', 'Mark Ruffalo']",4.0,4.0,"This one's a gritty drama, with Scorsese creating some marvellous set pieces where the past intervenes with the present and Leonardo creates a compelling picture of brooding disarray.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Brick Lane,"28 May, 2010",[],Drama,,Satish KaushikActor,,4.0,3.5,Watch the film for the grandeur that both Satish Kaushik and Tannishtha Chatterjee invest in their role of the low key couple who try to cope with a changing world order.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
